timestamp,rtt_ms,src_ip,dst_ip,packet_size
2026-05-13 10:03:48.695379019,27.374,192.168.4.189,142.250.205.142,1848
2026-05-13 10:03:48.707986116,0.058,142.250.205.142,192.168.4.189,1466
2026-05-13 10:03:48.721230984,0.025,142.250.205.142,192.168.4.189,986
2026-05-13 10:03:48.753106117,31.447999999999997,192.168.4.189,142.250.205.142,128
2026-05-13 10:03:48.795630932,42.524,142.250.205.142,192.168.4.189,1024
2026-05-13 10:03:48.941119909,16.570999999999998,192.168.4.189,142.251.43.197,4557
2026-05-13 10:03:48.941119909,16.532,192.168.4.189,142.251.43.197,394
2026-05-13 10:03:49.457444906,0.020999999999999998,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:49.457653046,0.009000000000000001,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:49.457736015,0.011,142.251.43.197,192.168.4.189,93
2026-05-13 10:03:49.474291086,16.132,192.168.4.189,142.251.43.197,93
2026-05-13 10:03:49.495429039,16.587999999999997,192.168.4.189,142.251.43.197,4553
2026-05-13 10:03:49.495429039,16.526,192.168.4.189,142.251.43.197,158
2026-05-13 10:03:49.846432924,0.011,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:49.846607924,0.006,142.251.43.197,192.168.4.189,93
2026-05-13 10:03:49.863230944,16.285,192.168.4.189,142.251.43.197,93
2026-05-13 10:03:50.214512110,260.098,192.168.4.189,20.42.73.30,55
2026-05-13 10:03:50.932240963,17.840000000000003,192.168.4.189,142.251.43.197,4557
2026-05-13 10:03:50.932306051,17.886,192.168.4.189,142.251.43.197,362
2026-05-13 10:03:51.379009962,0.025,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:51.379072905,0.003,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:51.379156113,0.006,142.251.43.197,192.168.4.189,380
2026-05-13 10:03:51.381490946,0.01,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:51.384491920,0.048,142.251.43.197,192.168.4.189,1392
2026-05-13 10:03:51.390866995,0.02,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:51.390949011,0.004,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:51.391014099,0.007,142.251.43.197,192.168.4.189,347
2026-05-13 10:03:51.396486044,17.432,192.168.4.189,142.251.43.197,89
2026-05-13 10:03:51.398066998,0.005,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:51.399791956,0.006,142.251.43.197,192.168.4.189,494
2026-05-13 10:03:51.402581930,0.005,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:51.402863979,0.007,142.251.43.197,192.168.4.189,1448
2026-05-13 10:03:51.405447960,0.005,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:51.407422066,0.031,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:51.407488108,0.006,142.251.43.197,192.168.4.189,172
2026-05-13 10:03:51.411279917,0.01,142.251.43.197,192.168.4.189,93
2026-05-13 10:03:51.442673922,31.099999999999998,192.168.4.189,142.251.43.197,93
2026-05-13 10:03:51.447916031,18.625,192.168.4.189,142.251.43.197,4555
2026-05-13 10:03:51.447916031,18.607,192.168.4.189,142.251.43.197,158
2026-05-13 10:03:51.823827982,0.015000000000000001,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:51.824151993,0.01,142.251.43.197,192.168.4.189,288
2026-05-13 10:03:51.827553988,0.004,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:51.827836990,0.004,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:51.827969074,0.009000000000000001,142.251.43.197,192.168.4.189,733
2026-05-13 10:03:51.829363108,0.023,142.251.43.197,192.168.4.189,93
2026-05-13 10:03:51.846126080,16.144,192.168.4.189,142.251.43.197,93
2026-05-13 10:03:51.909503937,18.365,192.168.4.189,142.250.207.78,66
2026-05-13 10:03:51.909554958,0.051,142.250.207.78,192.168.4.189,66
2026-05-13 10:03:51.928922892,18.84,192.168.4.189,142.250.207.78,1831
2026-05-13 10:03:51.936404943,16.602999999999998,192.168.4.189,142.251.43.197,4554
2026-05-13 10:03:51.936404943,16.584999999999997,192.168.4.189,142.251.43.197,362
2026-05-13 10:03:51.946187019,0.020999999999999998,142.250.207.78,192.168.4.189,1466
2026-05-13 10:03:51.946280003,0.005,142.250.207.78,192.168.4.189,1466
2026-05-13 10:03:51.946672916,0.326,142.250.207.78,192.168.4.189,1002
2026-05-13 10:03:51.965384007,18.711,192.168.4.189,142.250.207.78,128
2026-05-13 10:03:52.019728899,54.344,142.250.207.78,192.168.4.189,1054
2026-05-13 10:03:52.371304035,0.020999999999999998,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:52.371560097,0.012,142.251.43.197,192.168.4.189,974
2026-05-13 10:03:52.375822067,0.036000000000000004,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:52.376120090,0.030000000000000002,142.251.43.197,192.168.4.189,1016
2026-05-13 10:03:52.380482912,0.01,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:52.385518074,0.008,142.251.43.197,192.168.4.189,1466
2026-05-13 10:03:52.390378952,0.01,142.251.43.197,192.168.4.189,1466
